Freq.	V(out5)
5.20536742176782e+003	-1.88902944639915e+001,4.27058086734763e-001
5.24157361543354e+003	-1.88901594184673e+001,4.30024619978609e-001
5.27803164309167e+003	-1.88900224912364e+001,4.33011705453128e-001
5.31474325638614e+003	-1.88898836561282e+001,4.36019484398701e-001
5.35171021914454e+003	-1.88897428866094e+001,4.39048099002641e-001
5.38893430746286e+003	-1.88896001557794e+001,4.42097692404322e-001
5.42641730979078e+003	-1.88894554363647e+001,4.45168408701645e-001
5.46416102701768e+003	-1.88893087007142e+001,4.48260392956402e-001
5.50216727255907e+003	-1.88891599207937e+001,4.51373791200971e-001
5.54043787244380e+003	-1.88890090681809e+001,4.54508750443217e-001
5.57897466540172e+003	-1.88888561140599e+001,4.57665418673301e-001
5.61777950295209e+003	-1.88887010292159e+001,4.60843944869280e-001
5.65685424949248e+003	-1.88885437840296e+001,4.64044479003011e-001
5.69620078238839e+003	-1.88883843484718e+001,4.67267172046390e-001
5.73582099206341e+003	-1.88882226920976e+001,4.70512175977431e-001
5.77571678209009e+003	-1.88880587840409e+001,4.73779643786422e-001
5.81589006928135e+003	-1.88878925930084e+001,4.77069729481575e-001
5.85634278378261e+003	-1.88877240872740e+001,4.80382588095651e-001
5.89707686916451e+003	-1.88875532346726e+001,4.83718375691910e-001
5.93809428251631e+003	-1.88873800025943e+001,4.87077249370258e-001
5.97939699453987e+003	-1.88872043579782e+001,4.90459367273467e-001
6.02098698964438e+003	-1.88870262673062e+001,4.93864888593246e-001
6.06286626604171e+003	-1.88868456965968e+001,4.97293973576849e-001
6.10503683584235e+003	-1.88866626113988e+001,5.00746783533173e-001
6.14750072515217e+003	-1.88864769767848e+001,5.04223480838654e-001
6.19025997416968e+003	-1.88862887573445e+001,5.07724228943908e-001
6.23331663728412e+003	-1.88860979171786e+001,5.11249192380404e-001
6.27667278317413e+003	-1.88859044198915e+001,5.14798536766086e-001
6.32033049490714e+003	-1.88857082285851e+001,5.18372428812242e-001
6.36429187003947e+003	-1.88855093058515e+001,5.21971036329516e-001
6.40855902071710e+003	-1.88853076137661e+001,5.25594528234689e-001
6.45313407377714e+003	-1.88851031138808e+001,5.29243074556662e-001
6.49801917085001e+003	-1.88848957672166e+001,5.32916846443906e-001
6.54321646846238e+003	-1.88846855342565e+001,5.36616016169000e-001
6.58872813814071e+003	-1.88844723749380e+001,5.40340757137221e-001
6.63455636651566e+003	-1.88842562486459e+001,5.44091243891188e-001
6.68070335542709e+003	-1.88840371142043e+001,5.47867652119310e-001
6.72717132202985e+003	-1.88838149298698e+001,5.51670158660130e-001
6.77396249890035e+003	-1.88835896533228e+001,5.55498941510769e-001
6.82107913414379e+003	-1.88833612416602e+001,5.59354179832242e-001
6.86852349150217e+003	-1.88831296513875e+001,5.63236053956891e-001
6.91629785046306e+003	-1.88828948384104e+001,5.67144745393999e-001
6.96440450636913e+003	-1.88826567580269e+001,5.71080436837335e-001
7.01284577052842e+003	-1.88824153649192e+001,5.75043312170945e-001
7.06162397032538e+003	-1.88821706131448e+001,5.79033556476569e-001
7.11074144933271e+003	-1.88819224561283e+001,5.83051356039745e-001
7.16020056742393e+003	-1.88816708466531e+001,5.87096898356185e-001
7.21000370088679e+003	-1.88814157368521e+001,5.91170372139406e-001
7.26015324253744e+003	-1.88811570781993e+001,5.95271967326438e-001
